zhAddress,zhLink,zhName,zhNum,zhTime,zhType
广州,position_detail.php?id=46656&keywords=&tid=0&lid=0,28603-113 微信支付核心支付开发工程师(广州),1,2019-01-04,技术类
深圳,position_detail.php?id=46657&keywords=&tid=0&lid=0,16810-腾讯动漫产品策划经理（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46658&keywords=&tid=0&lid=0,TEG-HRBP（深圳）,1,2019-01-04,职能类
深圳,position_detail.php?id=46646&keywords=&tid=0&lid=0,18302-新动作手游高级文学策划（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46741&keywords=&tid=0&lid=0,18302-动作类手游资深TA（深圳）,1,2019-01-04,设计类
深圳,position_detail.php?id=46671&keywords=&tid=0&lid=0,27092-内容商业化运营经理/高级运营经理,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46726&keywords=&tid=0&lid=0,25923-视觉交互设计师（深圳）,1,2019-01-04,设计类
深圳,position_detail.php?id=46647&keywords=&tid=0&lid=0,18302-新动作手游数值策划（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46742&keywords=&tid=0&lid=0,18302-动作类手游资深3D特效设计师（深圳）,1,2019-01-04,设计类
深圳,position_detail.php?id=46659&keywords=&tid=0&lid=0,25668-腾讯云精细化营销高级市场经理（深圳）,1,2019-01-04,市场类
深圳,position_detail.php?id=46694&keywords=&tid=0&lid=0,25663-游戏服务平台后台开发高级工程师,2,2019-01-04,技术类
深圳,position_detail.php?id=46727&keywords=&tid=0&lid=0,HY3-互娱战略发展经理（深圳）,1,2019-01-04,市场类
深圳,position_detail.php?id=46709&keywords=&tid=0&lid=0,15581-游戏后台开发（深圳）,2,2019-01-04,技术类
深圳,position_detail.php?id=46648&keywords=&tid=0&lid=0,30933-游戏技术美术TA（深圳）,1,2019-01-04,设计类
广州,position_detail.php?id=46743&keywords=&tid=0&lid=0,WXG03-211 公众平台数据运营（广州）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46753&keywords=&tid=0&lid=0,25928-web前端开发工程师,1,2019-01-04,技术类
上海,position_detail.php?id=46767&keywords=&tid=0&lid=0,30631-项目交付运营经理,1,2019-01-04,市场类
北京,position_detail.php?id=46712&keywords=&tid=0&lid=0,CSIG15-自然语言处理研究员（北京）,1,2019-01-04,技术类
深圳,position_detail.php?id=46692&keywords=&tid=0&lid=0,TME-音乐推荐及自动标签算法工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46769&keywords=&tid=0&lid=0,21087-MMORPG官网运营（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46676&keywords=&tid=0&lid=0,TEG04-知识管理产品Web前端开发（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46660&keywords=&tid=0&lid=0,TEG06-云计算产品高级开发工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46695&keywords=&tid=0&lid=0,22989-腾讯云大客户售后团队负责人(上海/成都/深圳/北京)（深圳总部）,1,2019-01-04,技术类
深圳,position_detail.php?id=46729&keywords=&tid=0&lid=0,28604-114 微信支付商户应用开发工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46710&keywords=&tid=0&lid=0,PCG15-短视频内容运营经理（深圳）,2,2019-01-04,内容编辑类
深圳,position_detail.php?id=46649&keywords=&tid=0&lid=0,30933-2D场景设计师（深圳）,1,2019-01-04,设计类
深圳,position_detail.php?id=46744&keywords=&tid=0&lid=0,28603-117 微信支付基础支付跨平台开发工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46755&keywords=&tid=0&lid=0,TEG06-云计算架构师（深圳）,2,2019-01-04,技术类
深圳,position_detail.php?id=46768&keywords=&tid=0&lid=0,TME-全民K歌Android开发工程师（深圳）,4,2019-01-04,技术类
成都,position_detail.php?id=46713&keywords=&tid=0&lid=0,CSIG15-自然语言处理研究员（成都）,1,2019-01-04,技术类
北京,position_detail.php?id=46680&keywords=&tid=0&lid=0,30625-腾讯广告KA金融行业销售经理（北京）,1,2019-01-04,市场类
深圳,position_detail.php?id=46770&keywords=&tid=0&lid=0,30620-腾讯社交广告质量与风控产品经理(微信广告 深圳),2,2019-01-04,产品/项目类
深圳,position_detail.php?id=46790&keywords=&tid=0&lid=0,15585-Unreal Engine游戏客户端开发工程师,1,2019-01-04,技术类
深圳,position_detail.php?id=46793&keywords=&tid=0&lid=0,TME-全民K歌Android开发工程师,2,2019-01-04,技术类
上海,position_detail.php?id=46677&keywords=&tid=0&lid=0,15614-天刀手游商业化运营（上海）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46661&keywords=&tid=0&lid=0,15581-欢乐麻将运营策划（深圳）,1,2019-01-04,产品/项目类
成都,position_detail.php?id=46696&keywords=&tid=0&lid=0,22989-腾讯云大客户售后团队负责人(上海/成都/深圳/北京)（成都）,1,2019-01-04,技术类
深圳,position_detail.php?id=46730&keywords=&tid=0&lid=0,CDG-HRBP（深圳）,1,2019-01-04,职能类
成都,position_detail.php?id=46711&keywords=&tid=0&lid=0,CSIG15-腾讯叮当语义后台开发工程师,1,2019-01-04,技术类
深圳,position_detail.php?id=46650&keywords=&tid=0&lid=0,PCG17-高级游戏运营,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46732&keywords=&tid=0&lid=0,18302-LBS品牌视觉设计师,1,2019-01-04,设计类
深圳,position_detail.php?id=46811&keywords=&tid=0&lid=0,23874-游戏评测方向游戏策划（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46809&keywords=&tid=0&lid=0,PCG10-知识图谱算法工程师,1,2019-01-04,技术类
深圳,position_detail.php?id=46756&keywords=&tid=0&lid=0,TEG06-云计算网络工程师（深圳）,2,2019-01-04,技术类
深圳,position_detail.php?id=46757&keywords=&tid=0&lid=0,TEG06-分布式存储工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46714&keywords=&tid=0&lid=0,WXG04-212 微信游戏中心高级产品策划（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46681&keywords=&tid=0&lid=0,30360-QQ空间独立版产品策划经理（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46771&keywords=&tid=0&lid=0,21087-DNF手游平台渠道运营(深圳),1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46780&keywords=&tid=0&lid=0,TME-腾讯音乐视频理解算法工程师（深圳）,2,2019-01-04,技术类
深圳,position_detail.php?id=46794&keywords=&tid=0&lid=0,TME-音兔Android开发工程师,2,2019-01-04,技术类
上海,position_detail.php?id=46678&keywords=&tid=0&lid=0,30632-腾讯广告数据营销顾问（上海）,1,2019-01-04,市场类
北京,position_detail.php?id=46662&keywords=&tid=0&lid=0,23671-企鹅号视频质量管理(北京),1,2019-01-04,内容编辑类
北京,position_detail.php?id=46697&keywords=&tid=0&lid=0,22989-腾讯云大客户售后团队负责人(上海/成都/深圳/北京)（北京）,1,2019-01-04,技术类
深圳,position_detail.php?id=46731&keywords=&tid=0&lid=0,18302-动作类资深3D关卡设计师（深圳）,1,2019-01-04,设计类
北京,position_detail.php?id=46699&keywords=&tid=0&lid=0,30625-腾讯广告营销服务线KA网服销售经理（北京）,1,2019-01-04,市场类
北京,position_detail.php?id=46651&keywords=&tid=0&lid=0,23671-企鹅号算法leader-图像识别（北京）,1,2019-01-04,技术类
深圳,position_detail.php?id=46733&keywords=&tid=0&lid=0,18302-UE4大世界ARPG手游资深TA（深圳）,1,2019-01-04,设计类
北京,position_detail.php?id=46812&keywords=&tid=0&lid=0,PCG09-信息流项目经理,8,2019-01-04,产品/项目类
日本,position_detail.php?id=46810&keywords=&tid=0&lid=0,23874-游戏引进评估分析（日本市场方向）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46745&keywords=&tid=0&lid=0,29912-增长产品运营,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46758&keywords=&tid=0&lid=0,PCG09-QQ看点后台开发（深圳）,2,2019-01-04,技术类
深圳,position_detail.php?id=46715&keywords=&tid=0&lid=0,S2-结算分析师,1,2019-01-04,职能类
深圳,position_detail.php?id=46682&keywords=&tid=0&lid=0,PCG09-信息流NLP高级研究员,1,2019-01-04,技术类
深圳,position_detail.php?id=46772&keywords=&tid=0&lid=0,23516-游戏版本管理（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46781&keywords=&tid=0&lid=0,TME-全民K歌iOS开发工程师（深圳）,3,2019-01-04,技术类
深圳,position_detail.php?id=46795&keywords=&tid=0&lid=0,TME-音兔后台开发工程师,2,2019-01-04,技术类
广州,position_detail.php?id=46679&keywords=&tid=0&lid=0,WXG10-212 企业微信私有化版产品策划经理（广州）,1,2019-01-04,产品/项目类
天津,position_detail.php?id=46663&keywords=&tid=0&lid=0,23671-企鹅号视频质量管理（天津）,1,2019-01-04,内容编辑类
上海,position_detail.php?id=46698&keywords=&tid=0&lid=0,22989-腾讯云大客户售后团队负责人(上海/成都/深圳/北京)（上海）,1,2019-01-04,技术类
成都,position_detail.php?id=46719&keywords=&tid=0&lid=0,CSIG15-自然语言研究员,1,2019-01-04,技术类
北京,position_detail.php?id=46700&keywords=&tid=0&lid=0,BJ-高级商务服务经理（北京）,1,2019-01-04,职能类
深圳,position_detail.php?id=46639&keywords=&tid=0&lid=0,TME-全民K歌国际版曲库运营（马来/印尼/泰国/菲律宾方向）,2,2019-01-04,内容编辑类
深圳,position_detail.php?id=46734&keywords=&tid=0&lid=0,18302-动作类手游资深3D角色设计师（深圳）,1,2019-01-04,设计类
北京,position_detail.php?id=46813&keywords=&tid=0&lid=0,20772-企鹅影视电影/网络电影文学策划,1,2019-01-04,产品/项目类
上海,position_detail.php?id=46798&keywords=&tid=0&lid=0,15575-资深系统策划（上海）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46748&keywords=&tid=0&lid=0,27087-高级营销经理,1,2019-01-04,市场类
广州,position_detail.php?id=46759&keywords=&tid=0&lid=0,WXG10-321 企业微信商务推广经理（广州-ISV）,1,2019-01-04,市场类
深圳,position_detail.php?id=46716&keywords=&tid=0&lid=0,PCG04-安全测试专家（后台服务/客户端）,1,2019-01-04,技术类
深圳,position_detail.php?id=46683&keywords=&tid=0&lid=0,PCG14-计算机视觉/图像识别工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46773&keywords=&tid=0&lid=0,23516-游戏运营数据分析（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46782&keywords=&tid=0&lid=0,27553-腾讯音乐Web前端开发工程师（深圳）,3,2019-01-04,技术类
深圳,position_detail.php?id=46796&keywords=&tid=0&lid=0,TME-全民K歌平台产品后台工程师,9,2019-01-04,技术类
深圳,position_detail.php?id=46665&keywords=&tid=0&lid=0,30360-QQ空间短视频产品策划经理,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46664&keywords=&tid=0&lid=0,30360-QQ空间平台流量产品策划经理,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46687&keywords=&tid=0&lid=0,TME-音频机器学习算法科学家（深圳）,3,2019-01-04,技术类
广州,position_detail.php?id=46720&keywords=&tid=0&lid=0,25664-运维质量管理,2,2019-01-04,技术类
美国,position_detail.php?id=46701&keywords=&tid=0&lid=0,TEG02- 光网络控制系统高级研发工程师,1,2019-01-04,技术类
广州,position_detail.php?id=46735&keywords=&tid=0&lid=0,CSIG08-IOS开发工程师（腾讯WiFi管家）,1,2019-01-04,技术类
深圳,position_detail.php?id=46814&keywords=&tid=0&lid=0,22989-腾讯云初创公司生态高级运营经理,1,2019-01-04,产品/项目类
上海,position_detail.php?id=46799&keywords=&tid=0&lid=0,15575-高级客户端开发工程师（上海）,1,2019-01-04,技术类
深圳,position_detail.php?id=46749&keywords=&tid=0&lid=0,26832-雇主品牌AE岗位,1,2019-01-04,职能类
北京,position_detail.php?id=46760&keywords=&tid=0&lid=0,30624-地产行业广告销售经理,1,2019-01-04,市场类
深圳,position_detail.php?id=46717&keywords=&tid=0&lid=0,29777-腾讯云交通行业高级产品经理（深圳）,3,2019-01-04,产品/项目类
北京,position_detail.php?id=46774&keywords=&tid=0&lid=0,23671-企鹅号策略产品经理（质量方向）-北京,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46783&keywords=&tid=0&lid=0,TEG06-VIP桌面支持工程师（深圳）,1,2019-01-04,技术类
上海,position_detail.php?id=46797&keywords=&tid=0&lid=0,15575-资深战斗/关卡策划（上海）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46666&keywords=&tid=0&lid=0,30360-手机QQ Android/iOS开发工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46652&keywords=&tid=0&lid=0,18402-RPG手游版本管理（深圳）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46688&keywords=&tid=0&lid=0,TME-腾讯音乐缺陷检测算法研究员（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46721&keywords=&tid=0&lid=0,PCG10-NLP/CV算法工程师,1,2019-01-04,技术类
深圳,position_detail.php?id=46702&keywords=&tid=0&lid=0,28994-虚拟银行区块链产品经理,1,2019-01-04,产品/项目类
北京,position_detail.php?id=46737&keywords=&tid=0&lid=0,17759-腾讯视频知识付费制片人,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=28193&keywords=&tid=0&lid=0,30620-腾讯社交广告后台开发工程师（微信广告 深圳）,2,2019-01-04,技术类
深圳,position_detail.php?id=29305&keywords=&tid=0&lid=0,TEG07-高级web前端开发工程师（深圳）,2,2019-01-04,技术类
深圳,position_detail.php?id=28140&keywords=&tid=0&lid=0,PCG19-视频编解码研发专家（深圳）,1,2019-01-04,技术类
香港,position_detail.php?id=27275&keywords=&tid=0&lid=0,18435-高级反洗钱合规管理（香港）,1,2019-01-04,技术类
深圳,position_detail.php?id=46816&keywords=&tid=0&lid=0,23516-资深手游渠道运营经理,1,2019-01-04,产品/项目类
北京,position_detail.php?id=46800&keywords=&tid=0&lid=0,19837-电影宣传策划经理,1,2019-01-04,市场类
深圳,position_detail.php?id=46750&keywords=&tid=0&lid=0,26832-雇主品牌经理—创意方向岗位,-1,2019-01-04,职能类
成都,position_detail.php?id=46761&keywords=&tid=0&lid=0,PCG04-android开发工程师(成都),1,2019-01-04,技术类
北京,position_detail.php?id=46718&keywords=&tid=0&lid=0,23675-腾讯新闻极速版-推荐算法高级工程师,4,2019-01-04,技术类
深圳,position_detail.php?id=46784&keywords=&tid=0&lid=0,TME-音兔iOS开发工程师,2,2019-01-04,技术类
深圳,position_detail.php?id=46785&keywords=&tid=0&lid=0,30360-社交平台产品部-Web前端开发工程师,1,2019-01-04,技术类
深圳,position_detail.php?id=46667&keywords=&tid=0&lid=0,30360-社交平台QQ-Android开发工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46653&keywords=&tid=0&lid=0,29311-CSIG-医疗健康高级品牌经理（深圳）,1,2019-01-04,市场类
深圳,position_detail.php?id=46689&keywords=&tid=0&lid=0,TME-腾讯音乐音频机器学习算法工程师（深圳）,1,2019-01-04,技术类
深圳,position_detail.php?id=46722&keywords=&tid=0&lid=0,22989-腾讯云服务产品高级项目经理,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=46703&keywords=&tid=0&lid=0,28994-腾讯区块链电子发票产品经理(深圳),1,2019-01-04,产品/项目类
上海,position_detail.php?id=46725&keywords=&tid=0&lid=0,24547-Android开发工程师（上海）,1,2019-01-04,技术类
上海,position_detail.php?id=28455&keywords=&tid=0&lid=0,21229-高级游戏业务商业分析经理（上海）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=29315&keywords=&tid=0&lid=0,AQ-安全智库经理（深圳）,1,2019-01-04,职能类
上海,position_detail.php?id=27722&keywords=&tid=0&lid=0,15573-SLG类手游商业化策划（上海）,1,2019-01-04,产品/项目类
深圳,position_detail.php?id=27054&keywords=&tid=0&lid=0,CS-腾讯公益高级测试工程师,1,2019-01-04,技术类
zhAddress,zhLink,zhName,zhNum,zhTime,zhType
北京,position_detail.php?id=46833&keywords=&tid=0&lid=0,17759-腾讯视频会员渠道精细化运营经理,1,2019-01-07,市场类
北京,position_detail.php?id=46834&keywords=&tid=0&lid=0,17759-腾讯视频积分商城运营经理,1,2019-01-07,市场类
深圳,position_detail.php?id=46828&keywords=&tid=0&lid=0,30620-腾讯社交广告高级后台开发工程师（微信广告 深圳）,2,2019-01-07,技术类
深圳,position_detail.php?id=46830&keywords=&tid=0&lid=0,27092-腾讯手游助手海外渠道运营,1,2019-01-07,产品/项目类
广州,position_detail.php?id=46823&keywords=&tid=0&lid=0,25664-政务应用交付架构师,2,2019-01-07,技术类
深圳,position_detail.php?id=46825&keywords=&tid=0&lid=0,25927-高级移动客户端开发工程师,1,2019-01-07,技术类
深圳,position_detail.php?id=46826&keywords=&tid=0&lid=0,25927-WeTest高级后台开发工程师,1,2019-01-07,技术类
北京,position_detail.php?id=46819&keywords=&tid=0&lid=0,20772-企鹅影视电视剧文学策划,1,2019-01-07,产品/项目类
上海,position_detail.php?id=46820&keywords=&tid=0&lid=0,30361-腾讯社区产品策划,1,2019-01-07,产品/项目类
深圳,position_detail.php?id=46821&keywords=&tid=0&lid=0,PCG09-看点用户增长产品策划经理（深圳）,1,2019-01-07,产品/项目类
深圳,position_detail.php?id=46785&keywords=&tid=0&lid=0,30360-社交平台产品部-Web前端开发工程师,1,2019-01-07,技术类
深圳,position_detail.php?id=46786&keywords=&tid=0&lid=0,18796-H5开发工程师(深圳),1,2019-01-07,技术类
深圳,position_detail.php?id=46787&keywords=&tid=0&lid=0,27092-应用宝高级商业产品经理/商业产品经理（深圳）,1,2019-01-07,产品/项目类
深圳,position_detail.php?id=46780&keywords=&tid=0&lid=0,TME-腾讯音乐视频理解算法工程师（深圳）,2,2019-01-07,技术类
深圳,position_detail.php?id=46781&keywords=&tid=0&lid=0,TME-全民K歌iOS开发工程师（深圳）,3,2019-01-07,技术类
深圳,position_detail.php?id=46782&keywords=&tid=0&lid=0,27553-腾讯音乐Web前端开发工程师（深圳）,3,2019-01-07,技术类
深圳,position_detail.php?id=46783&keywords=&tid=0&lid=0,TEG06-VIP桌面支持工程师（深圳）,1,2019-01-07,技术类
深圳,position_detail.php?id=46784&keywords=&tid=0&lid=0,TME-音兔iOS开发工程师,2,2019-01-07,技术类
北京,position_detail.php?id=46777&keywords=&tid=0&lid=0,CSIG16-车联网产品运营（出行服务）,1,2019-01-07,产品/项目类
深圳,position_detail.php?id=46778&keywords=&tid=0&lid=0,29923-动效视觉设计师,1,2019-01-07,设计类
北京,position_detail.php?id=46800&keywords=&tid=0&lid=0,19837-电影宣传策划经理,1,2019-01-07,市场类
深圳,position_detail.php?id=46794&keywords=&tid=0&lid=0,TME-音兔Android开发工程师,2,2019-01-07,技术类
深圳,position_detail.php?id=46795&keywords=&tid=0&lid=0,TME-音兔后台开发工程师,2,2019-01-07,技术类
深圳,position_detail.php?id=46796&keywords=&tid=0&lid=0,TME-全民K歌平台产品后台工程师,9,2019-01-07,技术类
深圳,position_detail.php?id=46790&keywords=&tid=0&lid=0,15585-Unreal Engine游戏客户端开发工程师,1,2019-01-07,技术类
深圳,position_detail.php?id=46791&keywords=&tid=0&lid=0,TME-全民K歌国际版Android开发工程师,3,2019-01-07,技术类
深圳,position_detail.php?id=46792&keywords=&tid=0&lid=0,TME-全民K歌国际版iOS开发工程师,3,2019-01-07,技术类
深圳,position_detail.php?id=46793&keywords=&tid=0&lid=0,TME-全民K歌Android开发工程师,2,2019-01-07,技术类
深圳,position_detail.php?id=46788&keywords=&tid=0&lid=0,30622-腾讯社交广告排序算法研究员（QQ广告 深圳）,2,2019-01-07,技术类
北京,position_detail.php?id=46789&keywords=&tid=0&lid=0,23675-UGC产品运营,1,2019-01-07,产品/项目类
深圳,position_detail.php?id=25779&keywords=&tid=0&lid=0,PCG19-腾讯视频应用后台开发工程师（深圳）,1,2019-01-07,技术类
深圳,position_detail.php?id=20040&keywords=&tid=0&lid=0,TEG13-C++后台开发工程师（深圳）,1,2019-01-07,技术类
北京,position_detail.php?id=22686&keywords=&tid=0&lid=0,19822-影视策划经理,2,2019-01-07,产品/项目类
深圳,position_detail.php?id=24992&keywords=&tid=0&lid=0,19823-动画电影美术设计师（深圳）,1,2019-01-07,设计类
深圳,position_detail.php?id=22746&keywords=&tid=0&lid=0,TEG09-虚拟化研发工程师（深圳）,2,2019-01-07,技术类
